check,expected,observed,status
release_gate_without_authorization,refuse_before_render,refused four false authorization fields,PASS
picture_sha256,3d1643246c066f377e841edc0f8653fec3c1bd9910d15151fb53732039259d27,3d1643246c066f377e841edc0f8653fec3c1bd9910d15151fb53732039259d27,PASS
duration_seconds,597.760,597.760,PASS
video_frames,14944,14944,PASS
geometry,1920x1080,1920x1080,PASS
frame_rate,25/1,25/1,PASS
full_decode,no errors,no errors,PASS
audio_sample_rate,48000,48000,PASS
audio_channels,1,1,PASS
integrated_loudness,-16.6 to -15.4 LUFS,-15.88 LUFS,PASS
true_peak,at or below -1.0 dBTP,-1.06 dBTP,PASS
publishable,false,false,PASS
music_branch,out of scope and closed,no music supplied,PASS
