excerpt,title,candidate,source_start,source_end,speech_seconds,reel_start,reel_end
1,HOOK + SCOPE,A,0.0000,23.9279,23.9279,2.000,26.960
1,HOOK + SCOPE,B,0.0000,24.4151,24.4151,26.960,52.400
1,HOOK + SCOPE,C,0.0000,24.0538,24.0538,52.400,77.480
1,HOOK + SCOPE,D,0.0000,24.5571,24.5571,77.480,103.040
2,NUMBERS + LIMIT,B,26.2615,52.6058,26.3443,105.040,132.400
2,NUMBERS + LIMIT,C,25.9143,55.1023,29.1880,132.400,162.600
2,NUMBERS + LIMIT,D,26.4061,55.1593,28.7532,162.600,192.360
2,NUMBERS + LIMIT,A,25.9112,53.8532,27.9420,192.360,221.320
3,MODEL BOUNDARY,C,56.9622,77.4907,20.5285,223.320,244.880
3,MODEL BOUNDARY,D,57.0356,77.5786,20.5430,244.880,266.440
3,MODEL BOUNDARY,A,55.7857,76.3815,20.5958,266.440,288.040
3,MODEL BOUNDARY,B,54.4165,76.3765,21.9600,288.040,311.000
4,FINAL LANDING,D,79.4284,102.4120,22.9836,313.000,337.000
4,FINAL LANDING,A,78.3620,102.2470,23.8850,337.000,361.920
4,FINAL LANDING,B,78.2487,102.2100,23.9613,361.920,386.920
4,FINAL LANDING,C,79.3469,102.4110,23.0641,386.920,411.000
