take_id,start_sample,end_sample,window_samples,take_samples,silence_pad_samples,take_sha256,time_stretch
T001,0,336000,336000,283944,52056,78b94fa33555eeaba3dc30d106f1a951df812dd49dceaaa15434e0e140a7f536,NONE
T002,336000,535728,199728,162254,37474,29e4d9e788a0aae95475e401a7f7555ca5aab3696be25bb3acf0e934472a6afe,NONE
T003,535728,768000,232272,182535,49737,1e3b3903db35917d4d5c8b4bd47d8f9c531fb96d25785675166757394f98b6fd,NONE
T004,768000,1104000,336000,304225,31775,f04e95ab7f68bcbbc8798d16b5b54532212bbcbf75f59e55f22412ed042e61f9,NONE
T005,1104000,1440000,336000,263662,72338,ee0c2963f137a526c19148b20c6b5715006eeb65a32ecaea21ae049103f126fe,NONE
T006,1440000,1636176,196176,182535,13641,df7a0c8e9713a1d211e6766d1a00896233bbc9b9be293cc8926048fde8f4ede5,NONE
T007,1636176,1824000,187824,182535,5289,d7d13ded0cc2a83fa5168fa8f49eb44eca8269eeef2d15d3f765a06be7559cc6,NONE
T008,1824000,1990944,166944,162144,4800,fce52ba7598db73d5c0529e22947ddf6c34f00c89c090af3cc0bfb3df48fb8b6,NONE
T009,1990944,2208000,217056,182535,34521,6fece857679d41ae41b1f16adee94a55b8f0361ea5b3d769ff69cb69569b0d89,NONE
T010,2208000,2592000,384000,243380,140620,91d5bda6310e90ba874445efa0e2f417a94eda3aa077febb0bac597107e061ae,NONE
T011,2592000,3072000,480000,283944,196056,38c41ff670af54940b3b0afbb1cc141660d385ec74164bb456c004605d6ca773,NONE
T012,3072000,3432000,360000,182535,177465,eadc0260ac7e9da7cbb6416df0fa8d44f685cc39f910dc8f1bedb1183b32c889,NONE
T013,3432000,3888000,456000,243380,212620,8e3d4d9614a28705553712ab9656e723f606d04b0106315f15f385250fc19444,NONE
T014,3888000,4176000,288000,283200,4800,aece7a0f4d120da180ca1de789e015afcec76935fb0cfc68af464df53dffdc07,NONE
T015,4176000,4608000,432000,243380,188620,d373f5b0f7f7b3718532d8f43bea6f8cdb7136a0ecfe2d7aef7c61990568e273,NONE
T016,4608000,4848000,240000,182535,57465,ac09c70b91c313a43afd2723d03a3771eae6aab0b40522a46ff7bc9068eb58cf,NONE
T017,4848000,5328000,480000,223099,256901,563bdd08d99f7d6280dba40af3f37944e87ff4121ce6b4b18edba3104900ea02,NONE
T018,5328000,5856000,528000,283944,244056,78b94fa33555eeaba3dc30d106f1a951df812dd49dceaaa15434e0e140a7f536,NONE
T019,5856000,6192000,336000,202817,133183,be9eadb29c54e201f1aba0e317852d0d513b2cd99190c4463da5e307425650e2,NONE
T020,6192000,6409680,217680,182535,35145,1e3b3903db35917d4d5c8b4bd47d8f9c531fb96d25785675166757394f98b6fd,NONE
T021,6409680,6576000,166320,161520,4800,f646117e70e148b78dcd69650c90087124509eee0aaa0a06ed6c7ac88155168e,NONE
T022,6576000,6816000,240000,202817,37183,8957cc99432cfc2d2e6cee94cef4a54e0e9679520e7fcb77062bb3cc5c00a294,NONE
T023,6842256,7049040,206784,201984,4800,202cfc409b4d63fc2a36e51fed223109fb10daa33c931305170d843b309f68b5,NONE
T024,7104000,7343184,239184,234384,4800,c8a3dcad82d85d809c79a8a933995b173c8f2ab2bf86fd69eca0bf06a9045a98,NONE
T025,7343184,7744800,401616,396816,4800,e9c87e2740834140516a2463f6be2acc40a3e951da2ab3b0b530577b97e685b2,NONE
T026,7935504,8091648,156144,151344,4800,ea92bbe8c6265d50e6b8d5b2b2a6be1e0621026aa372cfeda5a0e8e5334429a7,NONE
T027,8091648,8336400,244752,239952,4800,f4ae04af39c81f02a192c67e93a868d9c3fa81564971fc86fed8c8c715943300,NONE
T028,8413008,8579232,166224,161424,4800,27a6be552fe36ae33a342c48348363973905fd9b169e639570fab7a352d5dc0c,NONE
T029,8668416,8866560,198144,193344,4800,4ad7913ecdda83e292490426ecaee71ebbcee11d804a0ece6d7f63c3e1055389,NONE
T030,8866560,9124320,257760,223099,34661,8ad1c8f3fbddf7627a90475aa8f923c5d48ea42c59621869eab5a7090980b048,NONE
T031,9124320,9342240,217920,213120,4800,813860c49a34faf07898f1def534461a345ab13741889e651f8c543ed9c2d313,NONE
T032,9500112,9783120,283008,223099,59909,bbb4f042ea2afeb1e59905dd0ac3f2c43c37107c2b2b5de289402490a6d3910e,NONE
T033,9869808,10012944,143136,138336,4800,3825dbb08e850e4ac7bcf884dc5a2bffdff3bc44a82c45c127ceca8b587488b8,NONE
T034,10110720,10293360,182640,177840,4800,df950ad0cfaad44cf8906e88e413bfdb9948a2a76d2c35351803560a86c415f9,NONE
T035,10351488,10978992,627504,622704,4800,bb7ceb083a303f09137a6da533060c21dd111da210c03d503dd3d6fadb49200d,NONE
T036,11067312,11303184,235872,231072,4800,ebe5cb1d43584e6f6f61130cab6e8bc9da9239a35b4454c3982070cb846a8467,NONE
T037,11303184,11597664,294480,289680,4800,acdbb13b363ce70e9983970c1044e29268f039728859f89b1febbe796046825f,NONE
T038,11669760,11904000,234240,202817,31423,9eea3c8e571dce15026535f1603b94a33ca4d71c2a061b448308d86225c385f3,NONE
T039,11904000,12082656,178656,173856,4800,fbc5ce296e99860e9ea39b08f4a6d89a7927d62235e985e78c77cd4d40647484,NONE
T040,12082656,12262704,180048,175248,4800,af620c2eb22baee604b2ef4b279c19c4175d5a8ae2e412b5eec9518f46c40af4,NONE
T041,12334992,12669120,334128,329328,4800,d8e84e9af57003b33862116875feb03b88489381b101c783b83dc72bc39e0400,NONE
T042,12669120,12907776,238656,202817,35839,8f805d613fbd126bf1f0111c5ad76cff16a1039543a69c3cf95657d274c71458,NONE
T043,12988656,13620432,631776,626976,4800,f2ee91495cc0e7b21b877a45f05c41bbb137df46da48ef8b51597e9db7828dba,NONE
T044,13718400,14050368,331968,283944,48024,ab7977157fa46db3e5cdb624be6fb113f58707c51864158ef473059036671ec9,NONE
