take_id,filename,sequence,cue_first,cue_last,word_count,timing_flag,text_sha256
T001,T001.wav,S1,1,1,14,NORMAL,82abc0d6771631c0d0aa0f3e9967c3b2702cc395cc88e3bde24419a79b180c96
T002,T002.wav,S1,2,2,8,NORMAL,efc829ca5d505d1879035e015e3b39a5ba60dc911c5860edaef0739a634c2742
T003,T003.wav,S1,3,3,9,NORMAL,2e94a274952b19e02f4ebc0f3cabfa3278547e27cda24080ae7dbac1b49e8070
T004,T004.wav,S1,4,5,15,NORMAL,31f97b6b8fda0ee9a7377450e80fd2235d7c2a17feef7fd20e42ff8fc74ccfe2
T005,T005.wav,S1,6,6,13,NORMAL,abf6564adfbaa19e52c3d64cd974e2767434ed2e35052fbad29f8468ee525133
T006,T006.wav,S1,7,7,9,NORMAL,e4585a46ec5b1df0f18658c127930d93c7a79f4429a3a165cc18a31fd23f07de
T007,T007.wav,S1,8,9,9,NORMAL,5829d0fdf17efd461800d17e2e012b93995abbbbee2c8f33994b6c0ab71ea2ec
T008,T008.wav,S1,10,10,8,NORMAL,0c864051f4c80f67826666bf533303f675e433c2d1c6d4f9a5c23a98ce93e5c5
T009,T009.wav,S1,11,11,9,NORMAL,cd78e529fe7490c53cdb18b0ab9d4eb28e40e83427e5e1d77c3af3c04244271b
T010,T010.wav,S1,12,12,12,EXPANSIVE_WINDOW,8e3fd0e981dfc206199b46fc13aa9ed78a59b2f2bbec376579807cb933686249
T011,T011.wav,S1,13,14,14,EXPANSIVE_WINDOW,7cf01a1050ca660ffc0131fb861f88f235cccf16ead3e5504129d66a54c2fdf0
T012,T012.wav,S2,15,15,9,EXPANSIVE_WINDOW,27429cb3a0b110048b05a499ea927765838f2198becfce6c10b36d570ece4cd7
T013,T013.wav,S2,16,16,12,EXPANSIVE_WINDOW,70b421e5ba27c3086c871f2f5712383399806330d7599c133cf13fcd26c063e0
T014,T014.wav,S2,17,18,14,NORMAL,0ecdccbef533e00b1a8a7e0531c5e06a6be026ac128b88281749ddc772f6d75a
T015,T015.wav,S2,19,20,12,EXPANSIVE_WINDOW,0da8b1681d0b1e1d86eb8058c7de9e6645f74c715b25adabed7da601077b19c6
T016,T016.wav,S2,21,21,9,NORMAL,f68dd9d95471d2bd85eeeab7df942668d500db0a298817e1d7102f15d66dbc4b
T017,T017.wav,S2,22,23,11,EXPANSIVE_WINDOW,652daae0891541ccd6913c329e03377dbd055556753c36f25b6eed8b5d5510d8
T018,T018.wav,S2,24,26,14,EXPANSIVE_WINDOW,4841cb69bf06368861e590502a1cf63ffe6ed957fcc673b7f9241fd8236ab064
T019,T019.wav,S2,27,28,10,EXPANSIVE_WINDOW,da7d650df3901d9ff4f902e4679d7eabccd7bf7c46ed0f03843e725a44267bfb
T020,T020.wav,S2,29,30,9,NORMAL,ed61cf91f346a3d2311c391317227c32dd28a793cbc957d7ebbf4d143f85f5a8
T021,T021.wav,S2,31,31,8,NORMAL,ba9fe1ea31e67d0d033d3c4deec20b6200cb1967936f193b6142448300d3cded
T022,T022.wav,S2,32,32,10,NORMAL,9457174d5e993c706d0eb4cf127d6435f649b56c570016733aeecbbd78524d1b
T023,T023.wav,S3,33,33,12,TIGHT_REVIEW,01931685df325c1cfb8ae4a4313b651d76a4eef10160e277cf8745fbb61b02f3
T024,T024.wav,S3,34,35,12,NORMAL,a01aa891959d52fbeb01009effa13c97a955eabf39d9200fed89ca990919fb50
T025,T025.wav,S3,36,37,20,NORMAL,4221c1292731ef5b953f86ed1856823597725b44f6e08e71b9c09d13368a95f8
T026,T026.wav,S3,38,38,8,NORMAL,d197fe2ddf54ded82a6b92d2fed935af313175c3d24847587306e876f0230185
T027,T027.wav,S3,39,40,12,NORMAL,263bd59fc4a784a602588c342fd4809bd23080f6d2847fad672fc9ab4ef2a7c9
T028,T028.wav,S3,41,41,9,NORMAL,b992ca7980544539d55f77ab266f0516f7aa61c8ad5ef51a870624269a5dc1ee
T029,T029.wav,S3,42,42,10,NORMAL,71b4bae8dd94f8c5e457ae98af15c31b100d82e9231d440d11511c895b762259
T030,T030.wav,S3,43,44,11,NORMAL,d2d84600a03d59b55aad85d781670d8baa33959241341833f69c1437950dcf4d
T031,T031.wav,S3,45,45,13,TIGHT_REVIEW,efeb0430fd2f9e3f5ed2e1ae7308d44e6f80258695e64322fe681556042c812d
T032,T032.wav,S3,46,47,11,NORMAL,34ec5bbc620cf3d4069cbdd1cd8782ba7c6ea2bcde7be96396725db39fe4f2a7
T033,T033.wav,S3,48,48,8,NORMAL,13bf5a64cb955ed1fb7659584cd95d737ba4065c19bdbe14095bfbed136df2f2
T034,T034.wav,S4,49,49,10,NORMAL,cc7889e52a04cde8f0e3adc97b55a92ff0cda402b9f66bf585e91807b168c586
T035,T035.wav,S4,50,52,32,NORMAL,51ec0f4de87909bfacf2f887820831f53ce945976c04923e4dc30dafdcea5ff5
T036,T036.wav,S4,53,54,12,NORMAL,34d0546aff1a63f1786441a238331620efb000905db7e6cd4c165a7300e6dc20
T037,T037.wav,S4,55,56,15,NORMAL,4b40e53f017e5bc824b48314933ddbc694f1a7e798eef34ca144e26aa6973037
T038,T038.wav,S4,57,58,10,NORMAL,1494b633063cc52080a636791c4de07c574f8220e98b01c7908c3f62e6ee4a9b
T039,T039.wav,S4,59,60,9,NORMAL,16ce89df7dfa09d93a61423de39ddd64683ab58b6848e557cb96ffb0e9f90ada
T040,T040.wav,S4,61,62,9,NORMAL,89cb874c08f75ce7ff8aeff15a41bc07f68bb0a06706e825f412deca91393c1b
T041,T041.wav,S4,63,65,19,NORMAL,70136b5576a3ab07201f6e17f9661a8331d60dfaade268744e5cd3d82093b4d2
T042,T042.wav,S4,66,66,10,NORMAL,eca35ecd720596b3c6b9245bba9241ee11df832b9b180b26204a19ce08d08a7e
T043,T043.wav,S4,67,70,31,NORMAL,acd3e9e1a948575396b87db2f4383425c1cfbd1395cac6049638364a2264620a
T044,T044.wav,S5,71,72,14,NORMAL,6c39e14f2a0ece1e424f2748658596101562c55035fe7d253973ac3c08fa1e5b
T045,T045.wav,S5,73,74,16,NORMAL,a12667172b7559936f57e5e2c8e8d4d066a8b0c303eca390447e422ab40c4288
T046,T046.wav,S5,75,75,11,NORMAL,3ba27a714b1091dd7d77fcb5c7be17b00b159fcc65381e91f49eea8480f17b87
