Category,Criterion,Weight,Score_1_to_5,Weighted_Score,Hard_Fail,Reviewer_Notes
Voice,Editorial truth and qualification fidelity,25,,,Yes if meaning is distorted,
Voice,Natural authority and human listenability,20,,,No,
Voice,Intelligibility including numbers and names,20,,,Yes if any protected fact is unclear,
Voice,Fit to locked v1.2f cadence and breaths,15,,,Yes if acceleration or clipped breaths are required,
Voice,Pronunciation consistency,10,,,Yes for unresolved source or proper-name errors,
Voice,Ten-minute fatigue risk,10,,,No,
Voice,RIGHTS GATE commercial use consent and provenance,0,,,Yes if ambiguous,
Music,RIGHTS GATE licence provenance and content-ID outcome,0,,,Yes if ambiguous,
Music,Narrative fit without overstating causality,30,,,Yes if it implies unsupported certainty,
Music,Narration intelligibility and evidence-space protection,25,,,Yes if protected speech is masked,
Music,Restraint and avoidance of generic documentary clichés,20,,,No,
Music,Structural continuity across four narrative phases,15,,,No,
Music,Mix headroom and stem availability,10,,,No,
