take_id,filename,sequence,cue_first,cue_last,word_count,text_sha256,source_class,selected_speed,source_sha256,start,end,window_seconds
T001,T001.wav,S1,1,1,14,82abc0d6771631c0d0aa0f3e9967c3b2702cc395cc88e3bde24419a79b180c96,RAW_NATURAL_SPEED,1.0,78ae77d4ce35078ab7345198f3ec057e1c70c14906f00cc8d279a4efd9ba0c76,00:00:00.000,00:00:07.000,7.000
T002,T002.wav,S1,2,2,8,efc829ca5d505d1879035e015e3b39a5ba60dc911c5860edaef0739a634c2742,RAW_NATURAL_SPEED,1.0,738581861e8d8391ebb219d34b5c7bb6b570c0614dc9897947fbed883265bb33,00:00:07.000,00:00:11.161,4.161
T003,T003.wav,S1,3,3,9,2e94a274952b19e02f4ebc0f3cabfa3278547e27cda24080ae7dbac1b49e8070,RAW_NATURAL_SPEED,1.0,af7cc36213db9639c64bbdbd5b431d7a80a5992fda432a136328cd0fef9ff34c,00:00:11.161,00:00:16.000,4.839
T004,T004.wav,S1,4,5,15,31f97b6b8fda0ee9a7377450e80fd2235d7c2a17feef7fd20e42ff8fc74ccfe2,RAW_NATURAL_SPEED,1.0,42ec69a4d041ee0a6bb1bf6eb65ab5cfe3476a5e6c2858abac1b65ab37912982,00:00:16.000,00:00:23.000,7.000
T005,T005.wav,S1,6,6,13,abf6564adfbaa19e52c3d64cd974e2767434ed2e35052fbad29f8468ee525133,RAW_NATURAL_SPEED,1.0,c12961ad89685d9be0eb5c883130181887a66774274082ca9b8676160b0738f5,00:00:23.000,00:00:30.000,7.000
T006,T006.wav,S1,7,7,9,e4585a46ec5b1df0f18658c127930d93c7a79f4429a3a165cc18a31fd23f07de,RAW_NATURAL_SPEED,1.0,36733412880c9f815306b80a1c51a4cc8da2d8e9d606f685a1fec60526dfc68b,00:00:30.000,00:00:34.087,4.087
T007,T007.wav,S1,8,9,9,5829d0fdf17efd461800d17e2e012b93995abbbbee2c8f33994b6c0ab71ea2ec,ADAPTIVE_EXISTING,1.15,942bad667934b510d71ece22e47fd89c5b36ce353990667f04edf66755916940,00:00:34.087,00:00:38.000,3.913
T008,T008.wav,S1,10,10,8,0c864051f4c80f67826666bf533303f675e433c2d1c6d4f9a5c23a98ce93e5c5,RAW_NATURAL_SPEED,1.0,582390ea88e63523fbf9ba4383a98924a5e7d6224e7fb8ba9651bc008d187064,00:00:38.000,00:00:41.478,3.478
T009,T009.wav,S1,11,11,9,cd78e529fe7490c53cdb18b0ab9d4eb28e40e83427e5e1d77c3af3c04244271b,RAW_NATURAL_SPEED,1.0,773964b953bf160cfbbaae1bbaec81ec6ea95d946e351017f9ab6bbc75d67adf,00:00:41.478,00:00:46.000,4.522
T010,T010.wav,S1,12,12,12,8e3fd0e981dfc206199b46fc13aa9ed78a59b2f2bbec376579807cb933686249,RAW_NATURAL_SPEED,1.0,333f0a52cfccd34c9b87f7a09f9a69bbff3b1b561c0a3b7c0f487f87873787e6,00:00:46.000,00:00:54.000,8.000
T011,T011.wav,S1,13,14,14,7cf01a1050ca660ffc0131fb861f88f235cccf16ead3e5504129d66a54c2fdf0,RAW_NATURAL_SPEED,1.0,ef9e746f11b58eb0355083613da6e4d06c2293f95fc08a56073311c7e566ce2b,00:00:54.000,00:01:04.000,10.000
T012,T012.wav,S2,15,15,9,27429cb3a0b110048b05a499ea927765838f2198becfce6c10b36d570ece4cd7,RAW_NATURAL_SPEED,1.0,e6f0704f19af9aeaa5275e91a85e2d3019b49fbf683e48a3358de6a9673efbcf,00:01:04.000,00:01:11.500,7.500
T013,T013.wav,S2,16,16,12,70b421e5ba27c3086c871f2f5712383399806330d7599c133cf13fcd26c063e0,RAW_NATURAL_SPEED,1.0,3a1af7e3ab99fcb6fdb35e5f18c30ee811d6e1549bfc69ba705aae16f55e1f07,00:01:11.500,00:01:21.000,9.500
T014,T014.wav,S2,17,18,14,0ecdccbef533e00b1a8a7e0531c5e06a6be026ac128b88281749ddc772f6d75a,RAW_NATURAL_SPEED,1.0,5531fc22b0784c313745b5d386ca7b76514c349597c28d8446a0e711a9e08d59,00:01:21.000,00:01:27.000,6.000
T015,T015.wav,S2,19,20,12,0da8b1681d0b1e1d86eb8058c7de9e6645f74c715b25adabed7da601077b19c6,RAW_NATURAL_SPEED,1.0,0012af485cd9f6ac8fcd2ba4b9076d0a162cfe95fa46a1942248a15a7c55849a,00:01:27.000,00:01:36.000,9.000
T016,T016.wav,S2,21,21,9,f68dd9d95471d2bd85eeeab7df942668d500db0a298817e1d7102f15d66dbc4b,RAW_NATURAL_SPEED,1.0,0b3c1c3ae44b6066ecec1f5705c5d678fc0e2bc705849897a197b141b32aa704,00:01:36.000,00:01:41.000,5.000
T017,T017.wav,S2,22,23,11,652daae0891541ccd6913c329e03377dbd055556753c36f25b6eed8b5d5510d8,RAW_NATURAL_SPEED,1.0,82e74241949365e08ea57069906d00881377cf87483b971cba202f091bffe7e6,00:01:41.000,00:01:51.000,10.000
T018,T018.wav,S2,24,26,14,4841cb69bf06368861e590502a1cf63ffe6ed957fcc673b7f9241fd8236ab064,RAW_NATURAL_SPEED,1.0,9d09d0302c34abe3facf4d690b1e10c065aac6c83591fdeb8cad0d293c6a6f65,00:01:51.000,00:02:02.000,11.000
T019,T019.wav,S2,27,28,10,da7d650df3901d9ff4f902e4679d7eabccd7bf7c46ed0f03843e725a44267bfb,RAW_NATURAL_SPEED,1.0,635012dfd5a5c60d66ee6dabb596c7a0d15ff2241f816baf8255c907ed48ff45,00:02:02.000,00:02:09.000,7.000
