take_id,filename,voice,source_class,selected_speed,source_path_class,source_sha256,output_sha256,text_sha256,text,source_samples,trim_start_sample_24k,trim_end_sample_24k,output_samples_48k,duration_seconds,revised_start,revised_end,window_seconds,headroom_seconds
T001,T001.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,78ae77d4ce35078ab7345198f3ec057e1c70c14906f00cc8d279a4efd9ba0c76,f50cf464b30ca2b42439407a7d652374701b02d9f9b3dde3f87d7d0ee7031b80,82abc0d6771631c0d0aa0f3e9967c3b2702cc395cc88e3bde24419a79b180c96,Walk through almost any new part of a city and something feels strangely familiar.,135600,8160,122880,229440,4.78,00:00:00.000,00:00:07.000,7.0,2.22
T002,T002.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,738581861e8d8391ebb219d34b5c7bb6b570c0614dc9897947fbed883265bb33,0bce0c51dca35575cc540cf554326cacc0a9e5da508a3ae5ce37f10df92c1760,efc829ca5d505d1879035e015e3b39a5ba60dc911c5860edaef0739a634c2742,The cars arrive in the same narrow palette.,76800,7440,64080,113280,2.36,00:00:07.000,00:00:11.161,4.161,1.801
T003,T003.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,af7cc36213db9639c64bbdbd5b431d7a80a5992fda432a136328cd0fef9ff34c,390ed2ae94766270f8456cca56ab11023e9430b22825fcd33b204edb627b0120,2e94a274952b19e02f4ebc0f3cabfa3278547e27cda24080ae7dbac1b49e8070,"The cafés share pale wood, black metal, and green.",97200,7440,83280,151680,3.16,00:00:11.161,00:00:16.000,4.839,1.679
T004,T004.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,42ec69a4d041ee0a6bb1bf6eb65ab5cfe3476a5e6c2858abac1b65ab37912982,f7b3bb68ce0c8d9dde23cc0d310258a02c0dffbaa0dd1446ad53134e0425e1f5,31f97b6b8fda0ee9a7377450e80fd2235d7c2a17feef7fd20e42ff8fc74ccfe2,"Logos use clean letters. New apartment blocks repeat grids of glass, concrete, and muted cladding.",183000,7920,169200,322560,6.72,00:00:16.000,00:00:23.000,7.0,0.28
T005,T005.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,c12961ad89685d9be0eb5c883130181887a66774274082ca9b8676160b0738f5,0e4ad1cfb36b8e17a21fbb2dfe93546cdcf812c7045a28ef631c37e4870c996a,abf6564adfbaa19e52c3d64cd974e2767434ed2e35052fbad29f8468ee525133,It can feel as if all of it came from one invisible catalog.,118200,7920,103680,191520,3.99,00:00:23.000,00:00:30.000,7.0,3.01
T006,T006.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,36733412880c9f815306b80a1c51a4cc8da2d8e9d606f685a1fec60526dfc68b,56ea37a493b86742dbee725044dbb454ce4290544bf4eeae793a9d70c16fb2ea,e4585a46ec5b1df0f18658c127930d93c7a79f4429a3a165cc18a31fd23f07de,But the world does not literally look the same.,83400,7440,68640,122400,2.55,00:00:30.000,00:00:34.087,4.087,1.537
T007,T007.wav,am_michael,ADAPTIVE_EXISTING,1.15,b01-kokoro-adaptive,942bad667934b510d71ece22e47fd89c5b36ce353990667f04edf66755916940,7d4cf45a736cf72e7edc3fda82165e0579a90df93e19049453681ed482ff28e3,5829d0fdf17efd461800d17e2e012b93995abbbbee2c8f33994b6c0ab71ea2ec,Tokyo is not Lagos. Geneva is not Mexico City.,103200,6480,91440,169920,3.54,00:00:34.087,00:00:38.000,3.913,0.373
T008,T008.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,582390ea88e63523fbf9ba4383a98924a5e7d6224e7fb8ba9651bc008d187064,da2e10dd13796a4e5aadf01a37911784c79cdbd204d77408cc6229948e7d4ddd,0c864051f4c80f67826666bf533303f675e433c2d1c6d4f9a5c23a98ce93e5c5,A family shop is not a global franchise.,84000,7680,73200,131040,2.73,00:00:38.000,00:00:41.478,3.478,0.748
T009,T009.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,773964b953bf160cfbbaae1bbaec81ec6ea95d946e351017f9ab6bbc75d67adf,1299106fc06807faa7dcb9bd615b9163a72072b2befa1e80b028e7aebecf8cb3,cd78e529fe7490c53cdb18b0ab9d4eb28e40e83427e5e1d77c3af3c04244271b,The past was never one continuous carnival of color.,108600,7680,95280,175200,3.65,00:00:41.478,00:00:46.000,4.522,0.872
T010,T010.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,333f0a52cfccd34c9b87f7a09f9a69bbff3b1b561c0a3b7c0f487f87873787e6,ec4c4cdd3fe40d09624587f0fbc3788db34dcae7a27e0de7ae630f01813bfd8b,8e3fd0e981dfc206199b46fc13aa9ed78a59b2f2bbec376579807cb933686249,This is not a film about a secret committee that deleted personality.,131400,7680,118080,220800,4.6,00:00:46.000,00:00:54.000,8.0,3.4
