take_id,start_sample,end_sample,window_samples,take_samples,silence_pad_samples,take_sha256,time_stretch
T001,0,336000,336000,229440,106560,f50cf464b30ca2b42439407a7d652374701b02d9f9b3dde3f87d7d0ee7031b80,NONE
T002,336000,535728,199728,113280,86448,0bce0c51dca35575cc540cf554326cacc0a9e5da508a3ae5ce37f10df92c1760,NONE
T003,535728,768000,232272,151680,80592,390ed2ae94766270f8456cca56ab11023e9430b22825fcd33b204edb627b0120,NONE
T004,768000,1104000,336000,322560,13440,f7b3bb68ce0c8d9dde23cc0d310258a02c0dffbaa0dd1446ad53134e0425e1f5,NONE
T005,1104000,1440000,336000,191520,144480,0e4ad1cfb36b8e17a21fbb2dfe93546cdcf812c7045a28ef631c37e4870c996a,NONE
T006,1440000,1636176,196176,122400,73776,56ea37a493b86742dbee725044dbb454ce4290544bf4eeae793a9d70c16fb2ea,NONE
T007,1636176,1824000,187824,169920,17904,7d4cf45a736cf72e7edc3fda82165e0579a90df93e19049453681ed482ff28e3,NONE
T008,1824000,1990944,166944,131040,35904,da2e10dd13796a4e5aadf01a37911784c79cdbd204d77408cc6229948e7d4ddd,NONE
T009,1990944,2208000,217056,175200,41856,1299106fc06807faa7dcb9bd615b9163a72072b2befa1e80b028e7aebecf8cb3,NONE
T010,2208000,2592000,384000,220800,163200,ec4c4cdd3fe40d09624587f0fbc3788db34dcae7a27e0de7ae630f01813bfd8b,NONE
T011,2592000,3072000,480000,324960,155040,becf7a8d3ac32a3129ea73b08eb6bbda33c49205941f4711e6435265c6c233c8,NONE
T012,3072000,3432000,360000,153120,206880,eee66f03c2a0264a3630a150ed984ab00562d91325b115f9a2f028c21a5b8505,NONE
T013,3432000,3888000,456000,237600,218400,cdfabd954ac86a64ea99902de7a65b179106dd9db8f9e55ccf3ee8ff5457d492,NONE
T014,3888000,4176000,288000,219360,68640,ebe48c2199e85ad732000be1890c56ea16b41e460388e7943520e032a2fc698e,NONE
T015,4176000,4608000,432000,245760,186240,3ac1c765d3892cb90153f03aaac4fb1b7d3bcf36db949f5eeb34481ac6bf3599,NONE
T016,4608000,4848000,240000,122400,117600,e3250b5331f034cb72f2d77557fa49684cc1662c1179869a84bd0f4eafb107c7,NONE
T017,4848000,5328000,480000,388320,91680,42404d4a8e000ef9857d8fbec8d6c0741afa586a247d08f46b6c327e80b7ee25,NONE
T018,5328000,5856000,528000,353760,174240,1462e2db503db26b45a4959667d149ba91dfd49157d39b1a8611d2e1837d6018,NONE
T019,5856000,6192000,336000,227040,108960,d676c2507c83d65e246d060b67c2b6b2a0a9d2c1061768bb3352b174fa92ad35,NONE
T020,6192000,6409680,217680,166080,51600,774e1a5e6a3cb227a2111083cc791e121f93bb9b8d96a3ba0de940684ae81144,NONE
T021,6409680,6576000,166320,114720,51600,c28262e490224cbeed94c86a7e998adb42a270aa43a2cf79ae59952593e158b2,NONE
T022,6576000,6816000,240000,167040,72960,0e7e5e7ef4390443f440ff7a91ad8a3eef8c682d143544c773b949bb66c1fc43,NONE
T023,6842256,7049040,206784,198240,8544,ff515db4189701007f5a05dd68cf22d5f8289f0926148d4206aa78a696b199dd,NONE
T024,7097424,7343184,245760,240960,4800,bc85be07ef072d50a31d42c8ae1fc2db2500ff10b6c188e7e071c1aae376b83f,NONE
T025,7343184,7744800,401616,393120,8496,39dd5bef84b99780a095a4135d4f92944b345b32faa0f8b28a7a8f8f85a1f7e3,NONE
T026,7935504,8091648,156144,150240,5904,b9306517ebc4272708936557e0fd342a5ece1b8d3220d684b24fbdf3e781ee08,NONE
T027,8091648,8336400,244752,232800,11952,0978ebe806d9502631e4d61cd0c6c4131d4fa6a78a206e60dc8d3447616f629e,NONE
T028,8413008,8616048,203040,198240,4800,29c0492f5f7e2898f0d6c78d93823d6b2690d8e37367114bb4c787cfa020c0ad,NONE
T029,8668416,8866560,198144,144000,54144,b7df4b967b400302636dab0e17d9d970d915b2d9548bc070a9d010287b4a8ff7,NONE
T030,8866560,9124320,257760,235200,22560,7b274d2fe0f0b99d93d050b9b39e7be75092b52364a86fea4f7be995d25000d4,NONE
T031,9124320,9376320,252000,247200,4800,385cc919afdb39beb72e80687e2e0624a27ffa51c3a3436b8886d03e6d3b6b3b,NONE
T032,9500112,9783120,283008,249600,33408,dadd5d4639c17ea740b0917f4056333c5ba650e0f580b8c35fe4bf927b54bdd6,NONE
T033,9869808,10012944,143136,131040,12096,b0a750151f9cc9df4ca3d76e259782842d2abe0918f0fb3212b4987d0ef5fca8,NONE
T034,10110720,10293360,182640,165600,17040,2bb2d5d4bead748747af7807760a2e4bf785c3a0fd177990a47cf2c6b5da2921,NONE
T035,10351488,10978992,627504,563520,63984,67c1fd4a6f34368b77e4db7c30bd8ebcbfaa4a7a19295996eee7059c2f89fa71,NONE
T036,11067312,11303184,235872,206880,28992,1939c6ce35555a68492e62b9cba1425eb6bb101af1069a751c89487a44f317cd,NONE
T037,11303184,11597664,294480,286080,8400,89b2077501b3185e3500dff12bc4593cfc1516c72173413ece6d6703a575df16,NONE
T038,11669760,11904000,234240,219840,14400,33bb55d018aad85230dd7923ea1a09c51d9cc851a20725defa410881ceeac351,NONE
T039,11904000,12082656,178656,161280,17376,ef609a63b3cacfac4d509c37ef6ea60937f7d015d081dcd6e0357b00583c854e,NONE
T040,12082656,12262704,180048,170880,9168,b17057763b2a5572fb987185827ff04ec416bb2844be31eb58c8845be8e3963b,NONE
