left,right,gap,recoverable,reserved,rule,protected_collision,remaining_unallocated
T001,T002,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T002,T003,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T003,T004,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T004,T005,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T005,T006,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T006,T007,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T007,T008,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T008,T009,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T009,T010,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T010,T011,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T011,T012,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T012,T013,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:scope,0.0
T013,T014,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:scope,0.0
T014,T015,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:scope,0.0
T015,T016,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T016,T017,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:source,0.0
T017,T018,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:source,0.0
T018,T019,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:source,0.0
T019,T020,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:source,0.0
T020,T021,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:source,0.0
T021,T022,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:source,0.0
T022,T023,0.547,0.0,0.547,LOCK_CHAPTER_OR_MICRO_PAUSE,chapter_bridge:C02,0.0
T023,T024,1.145,0.695,0.45,PROVISIONAL_INTRA_CHAPTER,,0.0
T024,T025,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T025,T026,3.973,0.0,3.973,LOCK_PROTECTED_VISUAL,evidence:boundary,0.0
T026,T027,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:boundary,0.0
T027,T028,1.596,0.0,1.596,LOCK_PROTECTED_VISUAL,evidence:boundary,0.0
T028,T029,1.858,1.108,0.75,PROVISIONAL_INTRA_CHAPTER,,0.341
T029,T030,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T030,T031,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T031,T032,3.289,2.539,0.75,PROVISIONAL_INTRA_CHAPTER,,1.829
T032,T033,1.806,1.056,0.75,PROVISIONAL_INTRA_CHAPTER,,1.056
T033,T034,2.037,0.0,2.037,LOCK_CHAPTER_OR_MICRO_PAUSE,chapter_bridge:C03,0.0
T034,T035,1.211,0.761,0.45,PROVISIONAL_INTRA_CHAPTER,,0.761
T035,T036,1.84,0.0,1.84,LOCK_PROTECTED_VISUAL,evidence:source,0.0
T036,T037,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T037,T038,1.502,0.0,1.502,LOCK_PROTECTED_VISUAL,evidence:boundary,0.0
T038,T039,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:illustration,0.0
T039,T040,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:illustration,0.0
T040,T041,1.506,0.0,1.506,LOCK_PROTECTED_VISUAL,evidence:illustration,0.0
T041,T042,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:source,0.0
T042,T043,1.685,0.0,1.685,LOCK_PROTECTED_VISUAL,evidence:source,0.0
T043,T044,2.041,0.0,2.041,LOCK_CHAPTER_OR_MICRO_PAUSE,chapter_bridge:C04,0.0
T044,T045,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,,0.0
T045,T046,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:source,0.0
T046,T047,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:source,0.0
T047,T048,1.24,0.0,1.24,LOCK_PROTECTED_VISUAL,evidence:source,0.0
T048,T049,0.0,0.0,0.0,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:source,0.0
T049,T050,0.08,0.0,0.08,LOCK_CHAPTER_OR_MICRO_PAUSE,evidence:boundary,0.0
