take,chapter,start,end,slot_seconds,raw_duration,raw_leading_silence,raw_trailing_silence,raw_safe_duration,raw_overflow,raw_safe_demand,raw_from_before,raw_from_after,raw_residual,adaptive_speed,adaptive_duration,adaptive_safe_duration,adaptive_safe_demand,adaptive_from_before,adaptive_from_after,adaptive_residual,recommended_remedy,residual_seconds,raw_sha256,adaptive_sha256,text
T001,S1 — The feeling of sameness,0.0,7.0,7.0,5.65,0.42,0.65,4.78,0.0,0.0,0.0,0.0,0.0,1.0,5.65,4.78,0.0,0.0,0.0,0.0,SAFE_TRIM_PLUS_UNIQUE_SILENCE_AT_1_00,0.0,78ae77d4ce35078ab7345198f3ec057e1c70c14906f00cc8d279a4efd9ba0c76,975ae5f3e0f6ed0045adb22f7590554244dac710a9906a87ba69ce048a4a7b76,Walk through almost any new part of a city and something feels strangely familiar.
T002,S1 — The feeling of sameness,7.0,11.161,4.161,3.2,0.39,0.65,2.36,0.0,0.0,0.0,0.0,0.0,1.0,3.2,2.36,0.0,0.0,0.0,0.0,SAFE_TRIM_PLUS_UNIQUE_SILENCE_AT_1_00,0.0,738581861e8d8391ebb219d34b5c7bb6b570c0614dc9897947fbed883265bb33,fb1b275036b3368215a1257339d7f97e682bcf66990b1deb18f1930a05db52b9,The cars arrive in the same narrow palette.
T003,S1 — The feeling of sameness,11.161,16.0,4.839,4.05,0.39,0.7,3.16,0.0,0.0,0.0,0.0,0.0,1.0,4.05,3.16,0.0,0.0,0.0,0.0,SAFE_TRIM_PLUS_UNIQUE_SILENCE_AT_1_00,0.0,af7cc36213db9639c64bbdbd5b431d7a80a5992fda432a136328cd0fef9ff34c,6be43a2faad5bfa273a65af3c1b1ab689c268edb891d577143cd2bd117402af0,"The cafés share pale wood, black metal, and green."
T004,S1 — The feeling of sameness,16.0,23.0,7.0,7.625,0.41,0.695,6.72,0.625,0.0,0.0,0.0,0.0,1.15,6.95,6.14,0.0,0.0,0.0,0.0,SAFE_TRIM_PLUS_UNIQUE_SILENCE_AT_1_00,0.0,42ec69a4d041ee0a6bb1bf6eb65ab5cfe3476a5e6c2858abac1b65ab37912982,a8246101d9bba4258033b9d8a583145cdd36c86795363398d9c576dddb5a2be5,"Logos use clean letters. New apartment blocks repeat grids of glass, concrete, and muted cladding."
T005,S1 — The feeling of sameness,23.0,30.0,7.0,4.925,0.41,0.725,3.99,0.0,0.0,0.0,0.0,0.0,1.0,4.925,3.99,0.0,0.0,0.0,0.0,SAFE_TRIM_PLUS_UNIQUE_SILENCE_AT_1_00,0.0,c12961ad89685d9be0eb5c883130181887a66774274082ca9b8676160b0738f5,8f6aff903f3e39961661079fd5fba6ce16214e22fd16726212ae4a1de454ce3e,It can feel as if all of it came from one invisible catalog.
T006,S1 — The feeling of sameness,30.0,34.087,4.087,3.475,0.39,0.735,2.55,0.0,0.0,0.0,0.0,0.0,1.0,3.475,2.56,0.0,0.0,0.0,0.0,SAFE_TRIM_PLUS_UNIQUE_SILENCE_AT_1_00,0.0,36733412880c9f815306b80a1c51a4cc8da2d8e9d606f685a1fec60526dfc68b,72be3af4045f10025e47c64c20b9846e970065dcc186eb9e268cd8143851f2b4,But the world does not literally look the same.
T007,S1 — The feeling of sameness,34.087,38.0,3.913,4.725,0.39,0.675,3.86,0.812,0.047,0.0,0.0,0.047,1.15,4.3,3.54,0.0,0.0,0.0,0.0,SAFE_TRIM_PLUS_UNIQUE_SILENCE_AT_ADAPTIVE_SPEED,0.0,df7cfbe09dd7502199ecebf0d5983fdd8cb7a69bb7e08710658cd2f799ac5ca3,942bad667934b510d71ece22e47fd89c5b36ce353990667f04edf66755916940,Tokyo is not Lagos. Geneva is not Mexico City.
T008,S1 — The feeling of sameness,38.0,41.478,3.478,3.5,0.4,0.57,2.73,0.022,0.0,0.0,0.0,0.0,1.06,3.35,2.61,0.0,0.0,0.0,0.0,SAFE_TRIM_PLUS_UNIQUE_SILENCE_AT_1_00,0.0,582390ea88e63523fbf9ba4383a98924a5e7d6224e7fb8ba9651bc008d187064,61ee982e1af2bb8e80abd16b71d4f3f390c27ddbe0bd9813b91202097931ba88,A family shop is not a global franchise.
T009,S1 — The feeling of sameness,41.478,46.0,4.522,4.525,0.4,0.675,3.65,0.003,0.0,0.0,0.0,0.0,1.06,4.325,3.5,0.0,0.0,0.0,0.0,SAFE_TRIM_PLUS_UNIQUE_SILENCE_AT_1_00,0.0,773964b953bf160cfbbaae1bbaec81ec6ea95d946e351017f9ab6bbc75d67adf,6b48f284ca022f9a24ccc17d9cf6fe433140daa1b142fd543154f51ca90e2745,The past was never one continuous carnival of color.
T010,S1 — The feeling of sameness,46.0,54.0,8.0,5.475,0.4,0.675,4.6,0.0,0.0,0.0,0.0,0.0,1.0,5.475,4.6,0.0,0.0,0.0,0.0,SAFE_TRIM_PLUS_UNIQUE_SILENCE_AT_1_00,0.0,333f0a52cfccd34c9b87f7a09f9a69bbff3b1b561c0a3b7c0f487f87873787e6,a92973f02f48df1c9613f469244d41cf1d74c95afde71a846e6d78805ab8739b,This is not a film about a secret committee that deleted personality.
