role,path,bytes,sha256,status
master,Pilot_01_Animatic_Scratch_Voice_00m00_09m57.760_v1.2g_progressive_focus.mp4,53299139,3d1643246c066f377e841edc0f8653fec3c1bd9910d15151fb53732039259d27,TECHNICALLY_VALID_HUMAN_MOTION_GATE
captions,restored/Pilot_01_Animatic_00m00_09m57.760_v1.2f_pacing_trim.srt,13254,2bc54569b979eb9e312a82ad1ec59332560e75c4a2f84523061104230681b2b9,READY
description,Pilot_01_Description_With_Sources_v1.0.txt,2349,0862d289e69667b4aeadaa6c021bc5d961e0161a67328460ea9672d5da470c1b,READY
sources,Pilot_01_Final_Source_Registry_v1.0.csv,4040,0ee6564886f9c6df13e39c918fb32e3f08a7830f4888a827f1fc557083bc73bf,READY
metadata,Pilot_01_Metadata_Variants_v1.0.csv,642,fe0ba82d383c8f43b6ec62f6d1d324d28a62435e886df7651e359733ea7896fd,READY_NOT_PUBLISHED
metrics,Pilot_01_Launch_Metrics_Log_v1.0.csv,815,9d0653489f91ec6df0e822b27096eefc403c878e914711978f14935bd63f6196,READY_EMPTY_TEMPLATE
voice_review,Pilot_01_Free_Voice_Blind_Audition_Review_Pack_v1.0.zip,9174532,50b66ae603ed33e6f076d6de3c9ff69fc54dbbab92ded870ad9636191384a97e,HUMAN_SELECTION_GATE
thumbnail,pilot_01_launch_instrumentation_v1_0/Pilot_01_Thumbnail_A_Curiosity_v1.0.png,42735,2e3fdc8db444fcfd08524c50045f38649924d15ee5d0f74c7358855008178811,READY_NOT_PUBLISHED
thumbnail,pilot_01_launch_instrumentation_v1_0/Pilot_01_Thumbnail_B_Concrete_Scope_v1.0.png,51677,254b6919af5629a13651af5cd3778045893848ee7ecd8c51dacfcfa96d3bc6d8,READY_NOT_PUBLISHED
thumbnail,pilot_01_launch_instrumentation_v1_0/Pilot_01_Thumbnail_C_Mechanism_v1.0.png,50996,518c0f82f7a8cfc721044c7d13dcbbe3d4912c0bae7470c4c60671da53036814,READY_NOT_PUBLISHED
